letter	frequency
Oostenrijk2001	0.69 	
Oostenrijk2012	0.735 

Belgie2001	0.854
Belgie2012 	0.895 

Bulgarije2001	0.461
Bulgarije2012 	0.806 

Cyprus2001	0.316 	
Cyprus2012	0.347 

Tsjechië2001	0.852 	
Tsjechië2012	0.899 

Duitsland2001	0.826 	
Duitsland2012	0.861 

Denemarken2001	0.805 	
Denemarken2012	0.864 

Estland2001	0.756 	
Estland2002	0.929 

Griekenland2001	0.649 	
Griekenland2012	0.679

Spanje2001	0.688 	
Spanje2012	0.784 

Finland2001	0.885
Finland2012 	0.937 

Frankrijk2001	0.804
Frankrijk2012 	0.769 
Hongarije2001	0.734
Hongarije2012 	0.860
Ieland2001	0.813
Ierland2012 	0.979 
Ijsland2001	0.678
Ijsland2012 	0.831 
Italie2001	0.696
Italie2012 	0.800 
Litouwen2001	0.853
Litouwen2012 	0.970 
Luxemburg2001	0.717
Luxemburg2012 	0.714 
Letland2001	0.725
Letland2012 	0.944 
Macedonie2001	0.461
Macedonie2012 	0.626 
Malta2001	0.593
Malta2012 	0.407 
Nederland2001	0.773
Nederland2012 	0.903 
Noorwegen2001	0.861
Noorwegen2012 	0.884 

Polen2001	0.820
Polen2012 	0.933 
Portugal2001	0.658
Portugal2012 	0.776 
Roemenie2001	0.575
Roemenie2012 	0.777 
Zweden2001	0.947
Zweden2012 	0.960 
Slovenie2001	0.814
Slovenie2012 	0.921 
Slowakije2001	0.566
Slowakije2012 	0.849 
Turkije2001	0.162
Turkije2012 	0.444 
Groot-Brittannie2001	0.563
Groot-Brittannie2012 	0.633 
Verenigde-Staten2001	0.644
Verenigde-Staten2012 	0.707
